LAT,LONG
4.8799401670,52.3711735800
4.8800749070,52.3712093000
4.8802096480,52.3712450200
4.8803443890,52.3712807400
4.8804791300,52.3713164600
4.8806138710,52.3713521800
4.8807486120,52.3713879000
4.8808833540,52.3714236200
4.8810180950,52.3714593400
4.8811528370,52.3714950600
4.8812875800,52.3715307800
4.8814223220,52.3715665000
4.8815570650,52.3716022200
4.8816918080,52.3716379400
4.8818265510,52.3716736600
4.8819612940,52.3717093800
4.8820960380,52.3717451000
4.8822307810,52.3717808100
4.8823655250,52.3718165300
4.8825002700,52.3718522500
4.8826414250,52.3718767800
4.8827830940,52.3719004200
4.8772079050,52.3704203700
4.8772654550,52.3703376800
4.8773230050,52.3702550000
4.8773805550,52.3701723100
4.8774381040,52.3700896300
4.8774956530,52.3700069400
4.8775532020,52.3699242600
4.8776107510,52.3698415800
4.8776683000,52.3697588900
4.8777258480,52.3696762100
4.8777833960,52.3695935200
4.8778409440,52.3695108400
4.8778984920,52.3694281500
4.8779560390,52.3693454700
4.8780135860,52.3692627800
4.8780711330,52.3691801000
4.8781286800,52.3690974200
4.8781862270,52.3690147300
4.8782437730,52.3689320500
4.8783013190,52.3688493600
4.8783588650,52.3687666800
4.8784164110,52.3686839900
4.8784739570,52.3686013100
4.8785315020,52.3685186200
4.8785890470,52.3684359400
4.8786465920,52.3683532500
4.8787041360,52.3682705700
4.8787616810,52.3681878800
4.8788192250,52.3681052000
4.8788767690,52.3680225100
4.8789343130,52.3679398300
4.8789918570,52.3678571400
4.8790494000,52.3677744600
4.8792446290,52.3650408800
4.8792024590,52.3651269700
4.8791602900,52.3652130600
4.8791181200,52.3652991500
4.8790759500,52.3653852400
4.8790337800,52.3654713200
4.8789916090,52.3655574100
4.8789254860,52.3656375600
4.8788578260,52.3657173200
4.8787901650,52.3657970800
4.8787225050,52.3658768400
4.8786548440,52.3659566000
4.8785735110,52.3660307000
4.8784777210,52.3660988200
4.8783819300,52.3661669300
4.8782861390,52.3662350400
4.8781903480,52.3663031500
4.8780945560,52.3663712600
4.8779987650,52.3664393700
4.8779029720,52.3665074800
4.8778071800,52.3665755900
4.8777113870,52.3666437000
4.8776155940,52.3667118100
4.8776893970,52.3752585100
4.8778325060,52.3752383600
4.8779717470,52.3752638900
4.8791957500,52.3677797000
4.8793248600,52.3678225000
4.8794539710,52.3678652900
4.8795830810,52.3679080900
4.8797121920,52.3679508900
4.8798413040,52.3679936800
4.8799704150,52.3680364800
4.8800995270,52.3680792700
4.8802286390,52.3681220700
4.8803577510,52.3681648700
4.8804868630,52.3682076600
4.8806159760,52.3682504600
4.8807450890,52.3682932500
4.8808742020,52.3683360500
4.8810033160,52.3683788400
4.8811324290,52.3684216400
4.8812615430,52.3684644300
4.8813906580,52.3685072200
4.8815197720,52.3685500200
4.8816488870,52.3685928100
4.8817780020,52.3686356100
4.8819071170,52.3686784000
4.8820362320,52.3687211900
4.8821653480,52.3687639900
4.8823022920,52.3687924900
4.8824474510,52.3688060100
4.8790761340,52.3677361600
4.8791354990,52.3676539600
4.8791948640,52.3675717600
4.8792542280,52.3674895600
4.8793135920,52.3674073600
4.8793729560,52.3673251600
4.8794323200,52.3672429500
4.8794916830,52.3671607500
4.8795510460,52.3670785500
4.8796104090,52.3669963500
4.8796697720,52.3669141500
4.8797291350,52.3668319500
4.8797884970,52.3667497500
4.8798976690,52.3666954300
4.8800309250,52.3667044100
4.8801650610,52.3667407500
4.8802941530,52.3667835600
4.8804232450,52.3668263800
4.8805523380,52.3668691900
4.8806814300,52.3669120000
4.8808105230,52.3669548200
4.8809396160,52.3669976300
4.8810687100,52.3670404400
4.8811978030,52.3670832600
4.8813268970,52.3671260700
4.8814559910,52.3671688800
4.8815850860,52.3672117000
4.8817141800,52.3672545100
4.8818432750,52.3672973200
4.8819723700,52.3673401300
4.8821030970,52.3673801000
4.8822475710,52.3673961200
4.8823920450,52.3674121300
4.8806654420,52.3654029900
4.8805380480,52.3653583200
4.8804106540,52.3653136400
4.8802832610,52.3652689700
4.8801558670,52.3652242900
4.8800269290,52.3651814000
4.8798949890,52.3651419800
4.8797630490,52.3651025600
4.8796293820,52.3650657200
4.8794902440,52.3650370400
4.8793511060,52.3650083500
4.8792736840,52.3649547700
4.8792854630,52.3648651800
4.8792972410,52.3647755900
4.8793090200,52.3646860100
4.8793207980,52.3645964200
4.8793325770,52.3645068400
4.8793460130,52.3644175200
4.8794081840,52.3643361000
4.8794703550,52.3642546800
4.8795325250,52.3641732600
4.8795946950,52.3640918500
4.8797029580,52.3640315100
4.8798128890,52.3639719400
4.8799228200,52.3639123700
4.8800418280,52.3638606700
4.8801702770,52.3638171400
4.8802987260,52.3637736200
4.8804271740,52.3637301000
4.8805556230,52.3636865800
4.8806644180,52.3636274500
4.8807658390,52.3635624700
4.8808672600,52.3634974900
4.8809686800,52.3634325000
4.8810696700,52.3633672800
4.8811688660,52.3633010200
4.8812680620,52.3632347600
4.8813672580,52.3631685100
4.8814451810,52.3630941700
4.8814980880,52.3630103400
4.8826802810,52.3661386800
4.8825542260,52.3660926000
4.8824281720,52.3660465200
4.8823021180,52.3660004400
4.8821760640,52.3659543600
4.8820500110,52.3659082800
4.8819239580,52.3658622000
4.8817979050,52.3658161200
4.8816718520,52.3657700400
4.8815458000,52.3657239600
4.8814197470,52.3656778800
4.8812936960,52.3656318000
4.8811676440,52.3655857200
4.8810415930,52.3655396400
4.8809155410,52.3654935600
4.8807894910,52.3654474800
4.8807612550,52.3653876900
4.8808419820,52.3653126200
4.8809265050,52.3652392700
4.8810199230,52.3651699300
4.8811133410,52.3651006000
4.8812067590,52.3650312600
4.8813001760,52.3649619300
4.8813935940,52.3648926000
4.8814870100,52.3648232600
4.8815804270,52.3647539300
4.8816738430,52.3646845900
4.8825863620,52.3688099400
4.8825793680,52.3687201700
4.8825723740,52.3686304000
4.8825653800,52.3685406200
4.8825583860,52.3684508500
4.8825513920,52.3683610800
4.8825443980,52.3682713000
4.8825374040,52.3681815300
4.8825304100,52.3680917600
4.8825234160,52.3680019900
4.8825164220,52.3679122100
4.8825094290,52.3678224400
4.8825024350,52.3677326700
4.8824954410,52.3676428900
4.8824869130,52.3675531800
4.8824762430,52.3674635400
4.8824672660,52.3673738400
4.8824598260,52.3672840800
4.8824523860,52.3671943200
4.8824449460,52.3671045600
4.8824375060,52.3670148000
4.8824300660,52.3669250400
4.8824226260,52.3668352800
4.8824151860,52.3667455200
4.8824624900,52.3666622100
4.8825238330,52.3665805600
4.8825851750,52.3664989000
4.8826465170,52.3664172500
4.8827015150,52.3663339900
4.8827562850,52.3662506500
4.8828817280,52.3719000800
4.8828746610,52.3718103100
4.8828675940,52.3717205400
4.8828605280,52.3716307700
4.8828534610,52.3715410000
4.8828463950,52.3714512300
4.8828393280,52.3713614500
4.8828322620,52.3712716800
4.8828251950,52.3711819100
4.8828181290,52.3710921400
4.8828110630,52.3710023700
4.8828039960,52.3709126000
4.8827969300,52.3708228300
4.8827898640,52.3707330600
4.8827827970,52.3706432900
4.8827757310,52.3705535200
4.8827686650,52.3704637500
4.8827603670,52.3703740200
4.8827506390,52.3702843400
4.8827409100,52.3701946600
4.8827311820,52.3701049900
4.8827214540,52.3700153100
4.8827117250,52.3699256300
4.8827019970,52.3698359500
4.8826922690,52.3697462800
4.8826825410,52.3696566000
4.8826728120,52.3695669200
4.8826630840,52.3694772400
4.8826533560,52.3693875600
4.8826436280,52.3692978900
4.8826339000,52.3692082100
4.8826241720,52.3691185300
4.8826144440,52.3690288500
4.8826047160,52.3689391800
4.8825918420,52.3688496600
4.8847677400,52.3668699200
4.8846402210,52.3668253700
4.8845127020,52.3667808300
4.8843851840,52.3667362800
4.8842576660,52.3666917300
4.8841301480,52.3666471900
4.8840026310,52.3666026400
4.8838751140,52.3665581000
4.8837475970,52.3665135500
4.8836200800,52.3664690000
4.8834925630,52.3664244600
4.8833650470,52.3663799100
4.8832375310,52.3663353600
4.8831100150,52.3662908100
4.8829825000,52.3662462700
4.8828549850,52.3662017200
4.8828429970,52.3661359400
4.8829415800,52.3660693400
4.8830401630,52.3660027400
4.8831387450,52.3659361300
4.8832373270,52.3658695300
4.8833359090,52.3658029300
4.8834344910,52.3657363300
4.8835330720,52.3656697300
4.8836316530,52.3656031300
4.8837302330,52.3655365200
4.8838288140,52.3654699200
4.8839273940,52.3654033200
4.8840259730,52.3653367200
4.8841245530,52.3652701200
4.8842231320,52.3652035100
4.8843217110,52.3651369100
4.8844202890,52.3650703100
4.8845189400,52.3650037500
4.8846176670,52.3649372300
4.8847163940,52.3648707100
4.8848151200,52.3648041900
4.8849138460,52.3647376700
4.8850125720,52.3646711500
4.8851112980,52.3646046300
4.8852100230,52.3645381100
4.8853087490,52.3644715900
4.8854074730,52.3644050600
4.8855061980,52.3643385400
4.8856049220,52.3642720200
4.8857036460,52.3642055000
4.8858023690,52.3641389800
4.8859010930,52.3640724600
4.8859998160,52.3640059400
4.8860985390,52.3639394200
4.8861972610,52.3638729000
4.8862959830,52.3638063800
4.8863947050,52.3637398600
4.8864934260,52.3636733300
4.8865921480,52.3636068100
4.8866908690,52.3635402900
4.8867895890,52.3634737700
4.8868883100,52.3634072500
4.8869870300,52.3633407300
4.8870857490,52.3632742000
4.8871844690,52.3632076800
4.8872831880,52.3631411600
4.8873819070,52.3630746400
4.8834601930,52.3750979600
4.8833912890,52.3750186100
4.8833245910,52.3749385400
4.8832578940,52.3748584700
4.8831911970,52.3747784000
4.8831418440,52.3746952800
4.8831290340,52.3746057500
4.8831162240,52.3745162200
4.8831034130,52.3744266900
4.8830906030,52.3743371500
4.8830777930,52.3742476200
4.8830649830,52.3741580900
4.8830521730,52.3740685600
4.8830393630,52.3739790200
4.8830306070,52.3738893300
4.8830238970,52.3737995500
4.8830171860,52.3737097600
4.8830104750,52.3736199800
4.8830037650,52.3735302000
4.8829970550,52.3734404200
4.8829903440,52.3733506400
4.8829836340,52.3732608600
4.8829769230,52.3731710800
4.8829702130,52.3730813000
4.8829635030,52.3729915200
4.8829567920,52.3729017400
4.8829500820,52.3728119500
4.8829433720,52.3727221700
4.8829366610,52.3726323900
4.8829299510,52.3725426100
4.8829232410,52.3724528300
4.8829165200,52.3723630500
4.8829097850,52.3722732700
4.8829030510,52.3721834900
4.8828963160,52.3720937100
4.8828895810,52.3720039300
4.8836484580,52.3752967100
4.8835743020,52.3752191300
4.8835001470,52.3751415600
4.8858827520,52.3754013600
4.8867703420,52.3676099900
4.8866555400,52.3675539600
4.8865407370,52.3674979400
4.8864188170,52.3674483300
4.8862913900,52.3674036800
4.8861639630,52.3673590300
4.8860365370,52.3673143900
4.8859091110,52.3672697400
4.8857816850,52.3672251000
4.8856542600,52.3671804500
4.8855268350,52.3671358000
4.8853994100,52.3670911600
4.8852719850,52.3670465100
4.8851445610,52.3670018600
4.8850171360,52.3669572100
4.8848897120,52.3669125700
4.8847991670,52.3669533900
4.8847243790,52.3670307300
4.8846495900,52.3671080700
4.8846020100,52.3671930100
4.8845556160,52.3672782800
4.8845092210,52.3673635500
4.8844831560,52.3674514000
4.8844702780,52.3675409300
4.8844576710,52.3676304600
4.8844656330,52.3677202100
4.8844735960,52.3678099500
4.8844815580,52.3678996900
4.8844895210,52.3679894400
4.8844974840,52.3680791800
4.8845054460,52.3681689200
4.8845134090,52.3682586600
4.8845213720,52.3683484100
4.8845293350,52.3684381500
4.8845372970,52.3685278900
4.8845452600,52.3686176400
4.8845532230,52.3687073800
4.8845611860,52.3687971200
4.8845691490,52.3688868600
4.8845771120,52.3689766100
4.8845850750,52.3690663500
4.8845930380,52.3691560900
4.8846010010,52.3692458300
4.8846089640,52.3693355800
4.8846169270,52.3694253200
4.8846248900,52.3695150600
